total_amt,receipt_id,invoice_id,invoice_item_id,item_charge
0,NULL,11E71376FB0CD3EAA211020AF2129A61,11E71376FB0E5A8DA211020AF2129A61,0
1900,2721-0097,11E71376FC66983FA211020AF2129A61,11E71376FC681EE2A211020AF2129A61,1900
1900,2754-5900,11E7137708C4F212A211020AF2129A61,11E7137708C678B5A211020AF2129A61,1900
1900,2037-9859,11E713772C1B4536A211020AF2129A61,11E713772C1D4109A211020AF2129A61,1900
1900,2219-0490,11E71377897E6F33A211020AF2129A61,11E71377897FF5D6A211020AF2129A61,1900
1900,2023-7264,11E71377B0EF7AEAA211020AF2129A61,11E71377B0F1018DA211020AF2129A61,1900
3976,2732-4370,11E71377C12591ADA211020AF2129A61,11E71377C10F7185A211020AF2129A61,924
3976,2732-4370,11E71377C12591ADA211020AF2129A61,11E71377C112A5D8A211020AF2129A61,998
3976,2732-4370,11E71377C12591ADA211020AF2129A61,11E71377C11564FBA211020AF2129A61,1027
3976,2732-4370,11E71377C12591ADA211020AF2129A61,11E71377C118241EA211020AF2129A61,1027
10553,2456-9823,11E71377C2673913A211020AF2129A61,11E71377C22F38E7A211020AF2129A61,1027
10553,2456-9823,11E71377C2673913A211020AF2129A61,11E71377C231F80AA211020AF2129A61,924
10553,2456-9823,11E71377C2673913A211020AF2129A61,11E71377C234DE3DA211020AF2129A61,1027
10553,2456-9823,11E71377C2673913A211020AF2129A61,11E71377C2379D60A211020AF2129A61,1027
10553,2456-9823,11E71377C2673913A211020AF2129A61,11E71377C23A8393A211020AF2129A61,1619
10553,2456-9823,11E71377C2673913A211020AF2129A61,11E71377C23D69C6A211020AF2129A61,1027
10553,2456-9823,11E71377C2673913A211020AF2129A61,11E71377C2407709A211020AF2129A61,924
10553,2456-9823,11E71377C2673913A211020AF2129A61,11E71377C243362CA211020AF2129A61,1027
10553,2456-9823,11E71377C2673913A211020AF2129A61,11E71377C246436FA211020AF2129A61,924
10553,2456-9823,11E71377C2673913A211020AF2129A61,11E71377C24929A2A211020AF2129A61,1027
10641,2089-4299,11E71377C430FCD7A211020AF2129A61,11E71377C3E28E63A211020AF2129A61,1027
10641,2089-4299,11E71377C430FCD7A211020AF2129A61,11E71377C3E54D86A211020AF2129A61,266
10641,2089-4299,11E71377C430FCD7A211020AF2129A61,11E71377C3E85AC9A211020AF2129A61,1027
10641,2089-4299,11E71377C430FCD7A211020AF2129A61,11E71377C3EB19ECA211020AF2129A61,245
10641,2089-4299,11E71377C430FCD7A211020AF2129A61,11E71377C3EE272FA211020AF2129A61,924
10641,2089-4299,11E71377C430FCD7A211020AF2129A61,11E71377C3F0E652A211020AF2129A61,830
10641,2089-4299,11E71377C430FCD7A211020AF2129A61,11E71377C3F3A575A211020AF2129A61,245
10641,2089-4299,11E71377C430FCD7A211020AF2129A61,11E71377C3F6B2B8A211020AF2129A61,1027
10641,2089-4299,11E71377C430FCD7A211020AF2129A61,11E71377C3F971DBA211020AF2129A61,1837
10641,2089-4299,11E71377C430FCD7A211020AF2129A61,11E71377C3FC580EA211020AF2129A61,368
10641,2089-4299,11E71377C430FCD7A211020AF2129A61,11E71377C3FF1731A211020AF2129A61,390
10641,2089-4299,11E71377C430FCD7A211020AF2129A61,11E71377C401FD64A211020AF2129A61,1081
10641,2089-4299,11E71377C430FCD7A211020AF2129A61,11E71377C4050AA7A211020AF2129A61,347
10641,2089-4299,11E71377C430FCD7A211020AF2129A61,11E71377C407F0DAA211020AF2129A61,1027
11611,2607-5095,11E71377C733B4DAA211020AF2129A61,11E71377C6A35C1EA211020AF2129A61,245
11611,2607-5095,11E71377C733B4DAA211020AF2129A61,11E71377C6A61B41A211020AF2129A61,1504
